Time (s),Forward Acceleration (cm/s^2),Roll (deg),Label
16.0056240898058,0,0.873761375609166,Other
16.0156195388349,2,1.01700094538116,Other
16.0256149878641,-1,1.14591655817596,Other
16.0356104368932,0,1.24618425701635,Other
16.0456058859223,13,1.33212799887955,Other
16.0556013349514,21,1.38942382678835,Other
16.0655967839806,25,1.41807174074275,Other
16.0755922330097,33,1.41807174074275,Other
16.0855876820388,51,1.40374778376555,Other
16.095583131068,60,1.37509986981115,Other
16.1055785800971,39,1.33212799887955,Other
16.1155740291262,8,1.28915612794795,Other
16.1255694781553,2,1.28915612794795,Heal-Down-Right
16.1355649271845,39,1.33212799887955,Other
16.1455603762136,99,1.40374778376555,Other
16.1555558252427,155,1.48969152562874,Other
16.1655512742718,211,1.57563526749194,Other
16.175546723301,281,1.63293109540074,Other
16.1855421723301,337,1.66157900935514,Other
16.1955376213592,343,1.64725505237794,Other
16.2055330703883,272,1.60428318144634,Other
16.2155285194175,177,1.56131131051474,Other
16.2255239684466,102,1.58995922446914,Other
16.2355194174757,102,1.60428318144634,Other
16.2455148665049,2,1.69022692330953,Other
16.255510315534,-103,1.76184670819553,Other
16.2655057645631,-202,1.84779045005873,Other
16.2755012135922,-204,1.93373419192193,Other
16.2854966626214,-341,2.10562167564832,Other
16.2954921116505,-400,2.30615707332911,Other
16.3054875606796,-402,2.5066924710099,Other
16.3154830097087,-421,2.72155182566789,Other
16.3254784587379,-369,2.87911535241709,Other
16.335473907767,-340,2.97938305125748,Other
16.3454693567961,-337,3.10829866405228,Other
16.3554648058252,-257,3.19424240591548,Other
16.3654602548544,-109,3.19424240591548,Other
16.3754557038835,-96,3.19424240591548,Other
16.3854511529126,-93,3.20856636289268,Other
16.3954466019417,-106,3.20856636289268,Other
16.4054420509709,-105,3.23721427684707,Other
16.4154375,-104,3.20856636289268,Other
16.4254329490291,-120,3.19424240591548,Other
16.4354283980582,-151,3.15127053498388,Other
16.4454238470874,-178,3.07965075009788,Other
16.4554192961165,-178,2.99370700823468,COM-Above-Heal-Right
16.4654147451456,-155,2.89343930939429,Other
16.4754101941748,-121,2.75019973962229,Other
16.4854056432039,-78,2.6069601698503,Other
16.495401092233,-37,2.44939664310111,Other
16.5053965412621,-25,2.30615707332911,Other
