Time (s),Forward Acceleration (cm/s^2),Roll (deg)
15.0060791868932,-8,4.58366623270382
15.0160746359223,-106,4.66960997456702
15.0260700849515,-242,4.81284954433901
15.0360655339806,-391,4.99906098504261
15.0460609830097,-495,5.170948468769
15.0560564320388,-508,5.2855401245866
15.066051881068,-444,5.34283595249539
15.0760473300971,-326,5.32851199551819
15.0860427791262,-192,5.2712161676094
15.0960382281553,-85,5.170948468769
15.1060336771845,0,5.027708898997
15.1160291262136,35,4.88446932922501
15.1260245752427,24,4.72690580247582
15.1360200242718,22,4.59799018968102
15.146015473301,3,4.44042666293183
15.1560109223301,-49,4.31151105013703
15.1660063713592,-112,4.16827148036504
15.1760018203883,-160,4.05367982454744
15.1859972694175,-194,3.92476421175265
15.1959927184466,-186,3.79584859895785
15.2059881674757,-145,3.62396111523146
15.2159836165048,-98,3.42342571755067
15.225979065534,-44,3.19424240591548
15.2359745145631,-9,2.96505909428028
15.2459699635922,0,2.75019973962229
15.2559654126214,-2,2.5496643419415
15.2659608616505,1,2.36345290123791
15.2759563106796,7,2.17724146053432
15.2859517597087,13,1.97670606285352
15.2959472087379,27,1.76184670819553
15.305942657767,33,1.54698735353754
15.3159381067961,40,1.34645195585675
15.3259335558252,43,1.14591655817596
15.3359290048544,47,0.945381160495163
15.3459244538835,50,0.77349367676877
15.3559199029126,55,0.615930150019576
15.3659153519417,58,0.472690580247582
15.3759108009709,66,0.329451010475587
15.38590625,71,0.200535397680792
15.3959016990291,75,0.0572958279087978
15.4058971480582,87,-0.0572958279087978
15.4158925970874,103,-0.186211440703593
15.4258880461165,100,-0.315127053498388
15.4358834951456,88,-0.415394752338784
15.4458789441748,85,-0.501338494201981
15.4558743932039,86,-0.572958279087978
15.465869842233,88,-0.630254106996776
15.4758652912621,106,-0.673225977928374
15.4858607402913,128,-0.716197848859972
15.4958561893204,136,-0.75916971979157
15.5058516383495,117,-0.816465547700368
15.5158470873786,85,-0.888085332586366
15.5258425364078,77,-0.974029074449562
15.5358379854369,107,-1.04564885933556
15.545833434466,160,-1.11726864422156
15.5558288834951,198,-1.17456447213035
15.5658243325243,212,-1.21753634306195
15.5758197815534,212,-1.26050821399355
15.5858152305825,193,-1.26050821399355
15.5958106796116,134,-1.28915612794795
15.6058061286408,28,-1.33212799887955
15.6158015776699,-79,-1.37509986981115
15.625797026699,-176,-1.44671965469714
15.6357924757282,-281,-1.57563526749194
15.6457879247573,-408,-1.77617066517273
15.6557833737864,-484,-2.09129771867112
15.6657788228155,-555,-2.5066924710099
15.6757742718447,-622,-2.89343930939429
15.6857697208738,-606,-3.16559449196108
15.6957651699029,-482,-3.33748197568747
15.705760618932,-303,-3.40910176057347
15.7157560679612,-156,-3.38045384661907
15.7257515169903,-81,-3.28018614777867
15.7357469660194,-61,-3.16559449196108
15.7457424150485,-57,-3.03667887916628
15.7557378640777,-51,-2.89343930939429
15.7657333131068,-65,-2.75019973962229
15.7757287621359,-115,-2.6069601698503
15.785724211165,-172,-2.4923685140327
15.7957196601942,-208,-2.42074872914671
15.8057151092233,-197,-2.37777685821511
15.8157105582524,-154,-2.34912894426071
15.8257060072816,-117,-2.27750915937471
15.8357014563107,-90,-2.16291750355712
15.8456969053398,-95,-2.03400189076232
15.8556923543689,-111,-1.86211440703593
15.8656878033981,-124,-1.69022692330953
15.8756832524272,-136,-1.51833943958314
15.8856787014563,-148,-1.36077591283395
15.8956741504854,-115,-1.21753634306195
15.9056695995146,-51,-1.07429677328996
15.9156650485437,11,-0.916733246540764
15.9256604975728,55,-0.730521805837172
15.9356559466019,79,-0.529986408156379
15.9456513956311,90,-0.300803096521188
15.9556468446602,83,-0.0859437418631967
15.9656422936893,65,0.128915612794795
15.9756377427184,45,0.329451010475587
15.9856331917476,20,0.529986408156379
15.9956286407767,0,0.701873891882773
16.0056240898058,0,0.873761375609166
16.0156195388349,2,1.01700094538116
16.0256149878641,-1,1.14591655817596
16.0356104368932,0,1.24618425701635
16.0456058859223,13,1.33212799887955
16.0556013349514,21,1.38942382678835
16.0655967839806,25,1.41807174074275
16.0755922330097,33,1.41807174074275
16.0855876820388,51,1.40374778376555
16.095583131068,60,1.37509986981115
16.1055785800971,39,1.33212799887955
16.1155740291262,8,1.28915612794795
16.1255694781553,2,1.28915612794795
16.1355649271845,39,1.33212799887955
16.1455603762136,99,1.40374778376555
16.1555558252427,155,1.48969152562874
16.1655512742718,211,1.57563526749194
16.175546723301,281,1.63293109540074
16.1855421723301,337,1.66157900935514
16.1955376213592,343,1.64725505237794
16.2055330703883,272,1.60428318144634
16.2155285194175,177,1.56131131051474
16.2255239684466,102,1.58995922446914
16.2355194174757,102,1.60428318144634
16.2455148665049,2,1.69022692330953
16.255510315534,-103,1.76184670819553
16.2655057645631,-202,1.84779045005873
16.2755012135922,-204,1.93373419192193
16.2854966626214,-341,2.10562167564832
16.2954921116505,-400,2.30615707332911
16.3054875606796,-402,2.5066924710099
16.3154830097087,-421,2.72155182566789
16.3254784587379,-369,2.87911535241709
16.335473907767,-340,2.97938305125748
16.3454693567961,-337,3.10829866405228
16.3554648058252,-257,3.19424240591548
16.3654602548544,-109,3.19424240591548
16.3754557038835,-96,3.19424240591548
16.3854511529126,-93,3.20856636289268
16.3954466019417,-106,3.20856636289268
16.4054420509709,-105,3.23721427684707
16.4154375,-104,3.20856636289268
16.4254329490291,-120,3.19424240591548
16.4354283980582,-151,3.15127053498388
16.4454238470874,-178,3.07965075009788
16.4554192961165,-178,2.99370700823468
16.4654147451456,-155,2.89343930939429
16.4754101941748,-121,2.75019973962229
16.4854056432039,-78,2.6069601698503
16.495401092233,-37,2.44939664310111
16.5053965412621,-25,2.30615707332911
16.5153919902913,-33,2.16291750355712
16.5253874393204,-42,2.03400189076232
16.5353828883495,-38,1.90508627796753
16.5453783373786,-12,1.77617066517273
16.5553737864078,18,1.64725505237794
16.5653692354369,36,1.53266339656034
16.575364684466,49,1.41807174074275
16.5853601334951,60,1.30348008492515
16.5953555825243,53,1.18888842910755
16.6053510315534,38,1.05997281631276
16.6153464805825,30,0.931057203517964
16.6253419296116,32,0.816465547700368
16.6353373786408,29,0.701873891882773
16.6453328276699,15,0.601606193042377
16.655328276699,5,0.51566245117918
16.6653237257282,15,0.444042666293183
16.6753191747573,17,0.386746838384385
16.6853146237864,25,0.343774967452787
16.6953100728155,50,0.300803096521188
16.7053055218447,84,0.25783122558959
16.7153009708738,108,0.243507268612391
16.7252964199029,131,0.229183311635191
16.735291868932,143,0.214859354657992
16.7452873179612,145,0.171887483726393
16.7552827669903,139,0.128915612794795
16.7652782160194,129,0.100267698840396
16.7752736650485,97,0.0429718709315983
16.7852691140777,61,0.0
16.7952645631068,64,-0.0859437418631967
16.8052600121359,120,-0.171887483726393
16.815255461165,187,-0.272155182566789
16.8252509101942,240,-0.358098924429986
16.8352463592233,255,-0.415394752338784
16.8452418082524,158,-0.472690580247582
16.8552372572815,22,-0.529986408156379
16.8652327063107,-10,-0.587282236065177
16.8752281553398,-64,-0.630254106996776
16.8852236043689,-162,-0.673225977928374
16.8952190533981,-234,-0.75916971979157
16.9052145024272,-361,-0.931057203517964
16.9152099514563,-471,-1.17456447213035
16.9252054004854,-492,-1.46104361167434
16.9352008495146,-475,-1.76184670819553
16.9451962985437,-507,-1.99103001983072
16.9551917475728,-468,-2.13426958960272
16.9651871966019,-350,-2.17724146053432
16.9751826456311,-225,-2.13426958960272
16.9851780946602,-158,-2.03400189076232
16.9951735436893,-129,-1.90508627796753
17.0051689927184,-107,-1.76184670819553
17.0151644417476,-75,-1.61860713842354
17.0251598907767,-46,-1.47536756865154
17.0351553398058,-60,-1.33212799887955
17.0451507888349,-105,-1.23186030003915
17.0551462378641,-127,-1.13159260119876
17.0651416868932,-127,-1.03132490235836
17.0751371359223,-121,-0.931057203517964
17.0851325849515,-71,-0.75916971979157
17.0951280339806,-57,-0.544310365133579
17.1051234830097,-108,-0.286479139543989
17.1151189320388,-123,-0.0286479139543989
17.125114381068,-103,0.214859354657992
17.1351098300971,-79,0.458366623270382
17.1451052791262,-56,0.687549934905573
17.1551007281553,-23,0.916733246540764
17.1650961771845,16,1.14591655817596
17.1750916262136,44,1.38942382678835
17.1850870752427,62,1.61860713842354
17.1950825242718,63,1.83346649308153
17.205077973301,58,2.03400189076232
17.2150734223301,57,2.22021333146591
17.2250688713592,53,2.37777685821511
17.2350643203883,53,2.4923685140327
17.2450597694175,67,2.5639882989187
17.2550552184466,74,2.5926362128731
17.2650506674757,69,2.5783122558959
17.2750461165049,45,2.5496643419415
17.285041565534,32,2.5066924710099
17.2950370145631,24,2.43507268612391
17.3050324635922,14,2.32048103030631
17.3150279126214,-12,2.14859354657992
17.3250233616505,-38,1.97670606285352
17.3350188106796,-33,1.80481857912713
17.3450142597087,-15,1.64725505237794
17.3550097087379,-20,1.51833943958314
17.365005157767,-36,1.44671965469714
17.3750006067961,-33,1.44671965469714
17.3849960558252,13,1.48969152562874
17.3949915048544,92,1.51833943958314
17.4049869538835,189,1.56131131051474
17.4149824029126,280,1.57563526749194
17.4249778519417,347,1.58995922446914
17.4349733009709,383,1.57563526749194
17.44496875,371,1.53266339656034
17.4549641990291,312,1.50401548260594
17.4649596480582,218,1.50401548260594
17.4749550970874,89,1.54698735353754
17.4849505461165,-61,1.64725505237794
17.4949459951456,-195,1.80481857912713
17.5049414441748,-345,2.03400189076232
17.5149368932039,-483,2.32048103030631
17.524932342233,-576,2.6499320407819
17.5349277912621,-557,3.00803096521188
17.5449232402913,-461,3.30883406173307
17.5549186893204,-360,3.53801737336826
17.5649141383495,-274,3.68125694314026
17.5749095873786,-182,3.73855277104906
17.5849050364078,-91,3.72422881407186
17.5949004854369,-47,3.66693298616306
17.604895934466,-57,3.56666528732266
17.6148913834951,-119,3.48072154545947
17.6248868325243,-187,3.40910176057347
17.6348822815534,-210,3.35180593266467
17.6448777305825,-184,3.30883406173307
17.6548731796116,-152,3.23721427684707
17.6648686286408,-146,3.13694657800668
17.6748640776699,-159,2.99370700823468
17.684859526699,-153,2.82181952450829
17.6948549757282,-135,2.6069601698503
17.7048504247573,-106,2.34912894426071
17.7148458737864,-75,2.07697376169392
17.7248413228155,-47,1.80481857912713
17.7348367718447,-30,1.53266339656034
17.7448322208738,-25,1.28915612794795
17.7548276699029,-27,1.05997281631276
17.764823118932,-34,0.873761375609166
17.7748185679612,-30,0.687549934905573
17.7848140169903,-17,0.51566245117918
17.7948094660194,-1,0.358098924429986
17.8048049150485,22,0.214859354657992
17.8148003640777,40,0.0716197848859972
17.8247958131068,55,-0.0429718709315983
17.8347912621359,67,-0.143239569771994
17.844786711165,71,-0.243507268612391
17.8547821601942,65,-0.300803096521188
17.8647776092233,54,-0.358098924429986
17.8747730582524,43,-0.401070795361584
17.8847685072815,34,-0.444042666293183
17.8947639563107,27,-0.487014537224781
17.9047594053398,17,-0.529986408156379
17.9147548543689,5,-0.544310365133579
17.9247503033981,17,-0.558634322110778
17.9347457524272,54,-0.544310365133579
17.9447412014563,94,-0.51566245117918
17.9547366504854,96,-0.472690580247582
17.9647320995146,79,-0.444042666293183
17.9747275485437,71,-0.429718709315983
17.9847229975728,77,-0.444042666293183
17.9947184466019,112,-0.458366623270382
18.0047138956311,149,-0.487014537224781
18.0147093446602,170,-0.529986408156379
18.0247047936893,179,-0.587282236065177
18.0347002427184,180,-0.644578063973975
18.0446956917476,196,-0.701873891882773
18.0546911407767,205,-0.730521805837172
18.0646865898058,176,-0.78781763374597
18.0746820388349,97,-0.873761375609166
18.0846774878641,-1,-1.01700094538116
18.0946729368932,-118,-1.23186030003915
18.1046683859223,-254,-1.50401548260594
18.1146638349515,-381,-1.81914253610433
18.1246592839806,-475,-2.17724146053432
18.1346547330097,-518,-2.5496643419415
18.1446501820388,-489,-2.86479139543989
18.154645631068,-414,-3.12262262102948
18.1646410800971,-325,-3.29451010475587
18.1746365291262,-214,-3.38045384661907
18.1846319781553,-117,-3.36612988964187
18.1946274271845,-56,-3.29451010475587
18.2046228762136,-28,-3.16559449196108
18.2146183252427,-28,-3.02235492218908
18.2246137742718,-40,-2.85046743846269
18.234609223301,-72,-2.6929039117135
18.2446046723301,-110,-2.5496643419415
18.2546001213592,-121,-2.42074872914671
18.2645955703883,-134,-2.29183311635191
18.2745910194175,-138,-2.16291750355712
18.2845864684466,-113,-2.03400189076232
18.2945819174757,-93,-1.87643836401313
18.3045773665048,-86,-1.70455088028673
18.314572815534,-82,-1.51833943958314
18.3245682645631,-78,-1.30348008492515
18.3345637135922,-62,-1.10294468724436
18.3445591626214,-44,-0.902409289563565
18.3545546116505,-32,-0.701873891882773
18.3645500606796,-34,-0.529986408156379
18.3745455097087,-22,-0.358098924429986
18.3845409587379,9,-0.186211440703593
18.394536407767,50,0.0
18.4045318567961,74,0.200535397680792
18.4145273058252,85,0.415394752338784
18.4245227548544,79,0.630254106996776
18.4345182038835,71,0.816465547700368
18.4445136529126,80,0.974029074449562
18.4545091019417,86,1.10294468724436
18.4645045509709,85,1.21753634306195
18.4745,76,1.30348008492515
18.4844954490291,66,1.37509986981115
18.4944908980582,66,1.43239569771994
18.5044863470874,79,1.48969152562874
18.5144817961165,99,1.51833943958314
18.5244772451456,114,1.48969152562874
18.5344726941748,111,1.43239569771994
18.5444681432039,71,1.33212799887955
18.554463592233,42,1.21753634306195
18.5644590412621,22,1.08862073026716
18.5744544902913,-4,0.959705117472363
18.5844499393204,-43,0.873761375609166
18.5944453883495,-35,0.845113461654767
18.6044408373786,24,0.902409289563565
18.6144362864078,92,0.988353031426762
18.6244317354369,144,1.10294468724436
18.634427184466,209,1.23186030003915
18.6444226334951,281,1.34645195585675
18.6544180825243,317,1.44671965469714
18.6644135315534,300,1.53266339656034
18.6744089805825,241,1.60428318144634
18.6844044296116,146,1.67590296633234
18.6943998786408,-14,1.77617066517273
18.7043953276699,-190,1.93373419192193
18.714390776699,-297,2.16291750355712
18.7243862257282,-377,2.44939664310111
18.7343816747573,-378,2.79317161055389
18.7443771237864,-366,3.15127053498388
18.7543725728155,-366,3.43774967452787
18.7643680218447,-345,3.60963715825426
18.7743634708738,-293,3.68125694314026
18.7843589199029,-203,3.70990485709466
18.794354368932,-119,3.66693298616306
18.8043498179612,-87,3.62396111523146
18.8143452669903,-111,3.59531320127706
18.8243407160194,-151,3.60963715825426
18.8343361650485,-195,3.66693298616306
18.8443316140777,-215,3.73855277104906
18.8543270631068,-209,3.78152464198065
18.8643225121359,-190,3.79584859895785
18.874317961165,-176,3.78152464198065
18.8843134101942,-187,3.72422881407186
18.8943088592233,-198,3.65260902918586
18.9043043082524,-191,3.53801737336826
18.9142997572815,-162,3.42342571755067
18.9242952063107,-119,3.29451010475587
18.9342906553398,-75,3.15127053498388
18.9442861043689,-43,2.97938305125748
18.9542815533981,-29,2.82181952450829
18.9642770024272,-22,2.6642559977591
18.9742724514563,-17,2.5066924710099
18.9842679004854,-14,2.37777685821511
18.9942633495146,-24,2.24886124542031
19.0042587985437,-22,2.14859354657992
19.0142542475728,-20,2.01967793378512
19.0242496966019,-4,1.93373419192193
19.0342451456311,-1,1.84779045005873
19.0442405946602,1,1.76184670819553
19.0542360436893,1,1.66157900935514
