Time (s),Forward Acceleration (cm/s^2),Roll (deg),Smoothed Acceleration,Braking,Propulsion
15.0060791868932,-8,4.58366623270382,-277.2117463660193,0,0
15.0160746359223,-106,4.66960997456702,-266.2936174114864,0,0
15.0260700849515,-242,4.81284954433901,-255.33014344909063,0,0
15.0360655339806,-391,4.99906098504261,-244.332245347744,0,0
15.0460609830097,-495,5.170948468769,-233.3108439763585,0,0
15.0560564320388,-508,5.2855401245866,-222.27686020384613,0,0
15.066051881068,-444,5.34283595249539,-211.2412148991189,0,0
15.0760473300971,-326,5.32851199551819,-200.2148289310887,0,0
15.0860427791262,-192,5.2712161676094,-189.20862316866763,0,0
15.0960382281553,-85,5.170948468769,-178.23351848076763,0,0
15.1060336771845,0,5.027708898997,-167.3004357363007,0,0
15.1160291262136,35,4.88446932922501,-156.42029580417886,0,0
15.1260245752427,24,4.72690580247582,-145.60401955331406,0,0
15.1360200242718,22,4.59799018968102,-134.8625278526183,0,0
15.146015473301,3,4.44042666293183,-124.20674157100356,0,0
15.1560109223301,-49,4.31151105013703,-113.64758157738186,0,0
15.1660063713592,-112,4.16827148036504,-103.19596874066517,0,0
15.1760018203883,-160,4.05367982454744,-92.86282392976544,0,0
15.1859972694175,-194,3.92476421175265,-82.65906801359475,0,0
15.1959927184466,-186,3.79584859895785,-72.59562186106504,0,0
15.2059881674757,-145,3.62396111523146,-62.68340634108827,0,0
15.2159836165048,-98,3.42342571755067,-52.93334232257649,0,0
15.225979065534,-44,3.19424240591548,-43.35635067444164,0,0
15.2359745145631,-9,2.96505909428028,-33.96335226559577,0,0
15.2459699635922,0,2.75019973962229,-24.765267964950795,0,0
15.2559654126214,-2,2.5496643419415,-15.773018641416972,0,0
15.2659608616505,1,2.36345290123791,2.394369068381837,0,1
15.2759563106796,7,2.17724146053432,18.475526059478295,0,0
15.2859517597087,13,1.97670606285352,29.57285555731388,0,0
15.2959472087379,27,1.76184670819553,33.961041020177746,0,0
15.305942657767,33,1.54698735353754,32.81893134611956,0,0
15.3159381067961,40,1.34645195585675,29.19721851004214,0,0
15.3259335558252,43,1.14591655817596,25.807311603883825,0,0
15.3359290048544,47,0.945381160495163,25.12668463611565,0,0
15.3459244538835,50,0.77349367676877,29.19368502117486,0,0
15.3559199029126,55,0.615930150019576,38.74445627307074,0,0
15.3659153519417,58,0.472690580247582,53.07273097917794,0,0
15.3759108009709,66,0.329451010475587,70.1823144351999,0,0
15.38590625,71,0.200535397680792,88.48499399758877,0,0
15.3959016990291,75,0.0572958279087978,108.25758227818176,0,0
15.4058971480582,87,-0.0572958279087978,126.9428752632982,0,0
15.4158925970874,103,-0.186211440703593,142.89965797638155,0,0
15.4258880461165,100,-0.315127053498388,155.06901628574167,0,0
15.4358834951456,88,-0.415394752338784,161.09091938660396,0,0
15.4458789441748,85,-0.501338494201981,158.45853813221575,0,0
15.4558743932039,86,-0.572958279087978,147.65324242903006,0,0
15.465869842233,88,-0.630254106996776,131.70363994652942,0,0
15.4758652912621,106,-0.673225977928374,113.81043738248702,0,0
15.4858607402913,128,-0.716197848859972,96.36637296426892,0,0
15.4958561893204,136,-0.75916971979157,79.6130603184578,0,0
15.5058516383495,117,-0.816465547700368,62.890620399095766,0,0
15.5158470873786,85,-0.888085332586366,46.47344220706613,0,0
15.5258425364078,77,-0.974029074449562,31.40438062016897,0,0
15.5358379854369,107,-1.04564885933556,17.721941606829375,0,0
15.545833434466,160,-1.11726864422156,4.6127205599215735,0,0
15.5558288834951,198,-1.17456447213035,-9.039140184374553,1,0
15.5658243325243,212,-1.21753634306195,-24.15019592742476,0,0
15.5758197815534,212,-1.26050821399355,-40.202835851316976,0,0
15.5858152305825,193,-1.26050821399355,-56.77064033159773,0,0
15.5958106796116,134,-1.28915612794795,-72.765408050004,0,0
15.6058061286408,28,-1.33212799887955,-87.90015628892043,0,0
15.6158015776699,-79,-1.37509986981115,-102.22858954901524,0,0
15.625797026699,-176,-1.44671965469714,-115.84783347299836,0,0
15.6357924757282,-281,-1.57563526749194,-128.60386418716936,0,0
15.6457879247573,-408,-1.77617066517273,-141.76722009556892,0,0
15.6557833737864,-484,-2.09129771867112,-155.93444925138056,0,0
15.6657788228155,-555,-2.5066924710099,-170.37167319756114,0,0
15.6757742718447,-622,-2.89343930939429,-184.02514213230324,0,0
15.6857697208738,-606,-3.16559449196108,-196.6205350064326,0,0
15.6957651699029,-482,-3.33748197568747,-207.97723617746567,0,0
15.705760618932,-303,-3.40910176057347,-217.33029060678356,0,0
15.7157560679612,-156,-3.38045384661907,-224.3143446057408,0,0
15.7257515169903,-81,-3.28018614777867,-228.93714466916188,0,0
15.7357469660194,-61,-3.16559449196108,-230.64112437425123,0,0
15.7457424150485,-57,-3.03667887916628,-229.4507689868134,0,0
15.7557378640777,-51,-2.89343930939429,-226.31205689820476,0,0
15.7657333131068,-65,-2.75019973962229,-222.07640037144355,0,0
15.7757287621359,-115,-2.6069601698503,-217.1041246687102,0,0
15.785724211165,-172,-2.4923685140327,-210.9065437495508,0,0
15.7957196601942,-208,-2.42074872914671,-202.59460010416907,0,0
15.8057151092233,-197,-2.37777685821511,-191.0199551518499,0,0
15.8157105582524,-154,-2.34912894426071,-176.17844118777538,0,0
15.8257060072816,-117,-2.27750915937471,-158.6727445695075,0,0
15.8357014563107,-90,-2.16291750355712,-139.05540329337663,0,0
15.8456969053398,-95,-2.03400189076232,-117.5620965367142,0,0
15.8556923543689,-111,-1.86211440703593,-94.7178645042812,0,0
15.8656878033981,-124,-1.69022692330953,-72.22029944052247,0,0
15.8756832524272,-136,-1.51833943958314,-51.55450859588511,0,0
